기준일,메이저금속지수
2012-11-06,1674.498802
2012-11-07,1685.203699
2012-11-08,1693.082887
2012-11-09,1688.302573
2012-11-12,1685.068509
2012-11-13,1702.067268
2012-11-14,1701.810289
2012-11-15,1712.071157
2012-11-16,1702.108597
2012-11-19,1693.211016
2012-11-20,1700.093325
2012-11-21,1709.450552
2012-11-22,1699.170753
2012-11-23,1698.346503
2012-11-26,1698.245743
2012-11-27,1719.66843
2012-11-28,1726.052576
2012-11-29,1712.950759
2012-11-30,1741.389105
2012-12-03,1752.150381
2012-12-04,1762.345086
2012-12-05,1763.519254
2012-12-06,1771.061158
2012-12-07,1782.364047
2012-12-10,1765.187175
2012-12-11,1800.10192
2012-12-12,1811.156044
2012-12-13,1816.187574
2012-12-14,1809.805907
2012-12-17,1830.249223
2012-12-18,1845.513025
2012-12-19,1829.476912
2012-12-20,1832.922708
2012-12-21,1813.478183
2012-12-24,1806.198246
2012-12-27,1808.269134
2012-12-28,1835.789209
2012-12-31,1831.630666
2013-01-02,1855.566184
2013-01-03,1887.924569
2013-01-04,1906.41578
2013-01-07,1889.063345
2013-01-08,1875.699341
2013-01-09,1896.868624
2013-01-10,1909.991043
2013-01-11,1916.220673
2013-01-14,1888.290667
2013-01-15,1881.852873
2013-01-16,1854.134719
2013-01-17,1833.175461
2013-01-18,1840.213574
2013-01-21,1857.195598
2013-01-22,1849.889739
2013-01-23,1865.433775
2013-01-24,1886.801184
2013-01-25,1875.084303
2013-01-28,1884.42932
2013-01-29,1871.514553
2013-01-30,1869.798474
2013-01-31,1906.352494
2013-02-01,1924.481073
2013-02-04,1918.492414
2013-02-05,1936.130256
2013-02-06,1936.385308
2013-02-07,1930.957592
2013-02-08,1930.865671
2013-02-11,1932.404556
2013-02-12,1936.703512
2013-02-13,1927.764925
2013-02-14,1940.826325
2013-02-15,1943.346515
2013-02-18,1945.562746
2013-02-19,1939.55253
2013-02-20,1929.449684
2013-02-21,1922.64061
2013-02-22,1884.951755
2013-02-25,1867.09564
2013-02-26,1860.772609
2013-02-27,1844.232785
2013-02-28,1852.481854
2013-03-01,1846.591596
2013-03-04,1807.56343
2013-03-05,1813.175249
2013-03-06,1809.19474
2013-03-07,1806.875519
2013-03-08,1797.879245
2013-03-11,1808.80941
2013-03-12,1788.075727
2013-03-13,1812.194465
2013-03-14,1795.370205
2013-03-15,1769.451651
2013-03-18,1780.232506
2013-03-19,1741.689252
2013-03-20,1739.812228
2013-03-21,1741.366228
2013-03-22,1746.940773
2013-03-25,1750.657524
2013-03-26,1752.73576
2013-03-27,1755.499935
2013-03-28,1739.233642
2013-04-02,1740.379111
2013-04-03,1724.701989
2013-04-04,1711.58477
2013-04-05,1703.616384
2013-04-08,1709.161602
2013-04-09,1732.512595
2013-04-10,1734.723844
2013-04-11,1751.02972
2013-04-12,1738.033829
2013-04-15,1735.06159
2013-04-16,1688.098379
2013-04-17,1711.855513
2013-04-18,1693.632987
2013-04-19,1688.070142
2013-04-22,1688.223853
2013-04-23,1673.327586
2013-04-24,1665.890501
2013-04-25,1679.96421
2013-04-26,1688.925621
2013-04-29,1683.86218
2013-04-30,1673.173643
2013-05-01,1671.681284
2013-05-02,1636.754021
2013-05-03,1632.673989
2013-05-07,1654.923144
2013-05-08,1676.915894
2013-05-09,1698.669113
2013-05-10,1691.917088
2013-05-13,1684.637313
2013-05-14,1669.977314
2013-05-15,1659.543495
2013-05-16,1635.724173
2013-05-17,1632.154674
2013-05-20,1650.537744
2013-05-21,1640.759042
2013-05-22,1665.263991
2013-05-23,1672.380047
2013-05-24,1649.831231
2013-05-28,1640.371116
2013-05-29,1627.306267
2013-05-30,1624.072519
2013-05-31,1615.675151
2013-06-03,1623.649912
2013-06-04,1644.746939
2013-06-05,1668.163085
2013-06-06,1688.016135
2013-06-07,1652.994281
2013-06-10,1646.588635
2013-06-11,1617.700354
2013-06-12,1601.172765
2013-06-13,1602.377815
2013-06-14,1592.278081
2013-06-17,1595.996305
2013-06-18,1594.219893
2013-06-19,1599.854146
2013-06-20,1606.730105
2013-06-21,1581.306757
2013-06-24,1577.865774
2013-06-25,1546.971846
2013-06-26,1557.688462
2013-06-27,1547.069493
2013-06-28,1553.681744
2013-07-01,1562.244809
2013-07-02,1585.907759
2013-07-03,1608.642626
2013-07-04,1600.019139
2013-07-05,1608.79299
2013-07-08,1592.93447
2013-07-09,1572.52912
2013-07-10,1581.691109
2013-07-11,1597.519002
2013-07-12,1633.117136
2013-07-15,1625.027643
2013-07-16,1619.424562
2013-07-17,1618.377707
2013-07-18,1629.665981
2013-07-19,1625.978062
2013-07-22,1637.53929
2013-07-23,1646.245001
2013-07-24,1649.764637
2013-07-25,1661.850849
2013-07-26,1642.989004
2013-07-29,1637.363701
2013-07-30,1625.246574
2013-07-31,1609.31879
2013-08-01,1609.770284
2013-08-02,1639.507993
2013-08-05,1641.217969
