기준일,희유금속지수
2012-11-06,1260.618921
2012-11-07,1260.618921
2012-11-08,1260.618921
2012-11-09,1260.618921
2012-11-12,1249.248712
2012-11-13,1249.248712
2012-11-14,1249.248712
2012-11-15,1249.248712
2012-11-16,1249.248712
2012-11-19,1237.632167
2012-11-20,1237.632167
2012-11-21,1237.632167
2012-11-22,1237.632167
2012-11-23,1237.632167
2012-11-26,1238.70309
2012-11-27,1238.70309
2012-11-28,1238.70309
2012-11-29,1238.70309
2012-11-30,1238.70309
2012-12-03,1220.257809
2012-12-04,1220.257809
2012-12-05,1220.257809
2012-12-06,1220.257809
2012-12-07,1220.257809
2012-12-10,1216.190721
2012-12-11,1216.190721
2012-12-12,1216.190721
2012-12-13,1216.190721
2012-12-14,1216.190721
2012-12-17,1219.94086
2012-12-18,1219.94086
2012-12-19,1219.94086
2012-12-20,1219.94086
2012-12-21,1219.94086
2012-12-24,1227.693844
2012-12-27,1227.693844
2012-12-28,1227.693844
2012-12-31,1225.970153
2013-01-02,1225.970153
2013-01-03,1225.970153
2013-01-04,1225.970153
2013-01-07,1211.009729
2013-01-08,1211.009729
2013-01-09,1211.009729
2013-01-10,1211.009729
2013-01-11,1211.009729
2013-01-14,1233.466523
2013-01-15,1233.466523
2013-01-16,1233.466523
2013-01-17,1233.466523
2013-01-18,1233.466523
2013-01-21,1243.051753
2013-01-22,1243.051753
2013-01-23,1243.051753
2013-01-24,1243.051753
2013-01-25,1243.051753
2013-01-28,1255.96691
2013-01-29,1255.96691
2013-01-30,1255.96691
2013-01-31,1255.96691
2013-02-01,1255.96691
2013-02-04,1258.184902
2013-02-05,1258.184902
2013-02-06,1258.184902
2013-02-07,1258.184902
2013-02-08,1258.184902
2013-02-11,1258.380283
2013-02-12,1258.380283
2013-02-13,1258.380283
2013-02-14,1258.380283
2013-02-15,1258.380283
2013-02-18,1259.541708
2013-02-19,1259.541708
2013-02-20,1259.541708
2013-02-21,1259.541708
2013-02-22,1259.541708
2013-02-25,1261.428491
2013-02-26,1261.428491
2013-02-27,1261.428491
2013-02-28,1261.428491
2013-03-01,1261.428491
2013-03-04,1265.710375
2013-03-05,1265.710375
2013-03-06,1265.710375
2013-03-07,1265.710375
2013-03-08,1265.710375
2013-03-11,1252.988484
2013-03-12,1252.988484
2013-03-13,1252.988484
2013-03-14,1252.988484
2013-03-15,1252.988484
2013-03-18,1247.184447
2013-03-19,1247.184447
2013-03-20,1247.184447
2013-03-21,1247.184447
2013-03-22,1247.184447
2013-03-25,1241.682265
2013-03-26,1241.682265
2013-03-27,1241.682265
2013-03-28,1241.682265
2013-04-02,1241.682265
2013-04-03,1238.485155
2013-04-04,1238.485155
2013-04-05,1238.485155
2013-04-08,1232.221727
2013-04-09,1232.221727
2013-04-10,1232.221727
2013-04-11,1232.221727
2013-04-12,1232.221727
2013-04-15,1238.381859
2013-04-16,1238.381859
2013-04-17,1238.381859
2013-04-18,1238.381859
2013-04-19,1238.381859
2013-04-22,1243.447356
2013-04-23,1243.447356
2013-04-24,1243.447356
2013-04-25,1243.447356
2013-04-26,1243.447356
2013-04-29,1257.065436
2013-04-30,1257.065436
2013-05-01,1257.065436
2013-05-02,1257.065436
2013-05-03,1257.065436
2013-05-07,1255.51992
2013-05-08,1255.51992
2013-05-09,1255.51992
2013-05-10,1255.51992
2013-05-13,1250.145885
2013-05-14,1250.145885
2013-05-15,1250.145885
2013-05-16,1250.145885
2013-05-17,1250.145885
2013-05-20,1244.94266
2013-05-21,1244.94266
2013-05-22,1244.94266
2013-05-23,1244.94266
2013-05-24,1244.94266
2013-05-28,1240.757272
2013-05-29,1240.757272
2013-05-30,1240.757272
2013-05-31,1240.757272
2013-06-03,1240.606275
2013-06-04,1240.606275
2013-06-05,1240.606275
2013-06-06,1240.606275
2013-06-07,1240.606275
2013-06-10,1246.124668
2013-06-11,1246.124668
2013-06-12,1246.124668
2013-06-13,1246.124668
2013-06-14,1246.124668
2013-06-17,1247.847908
2013-06-18,1247.847908
2013-06-19,1247.847908
2013-06-20,1247.847908
2013-06-21,1247.847908
2013-06-24,1247.021376
2013-06-25,1247.021376
2013-06-26,1247.021376
2013-06-27,1247.021376
2013-06-28,1247.021376
2013-07-01,1240.160159
2013-07-02,1240.160159
2013-07-03,1240.160159
2013-07-04,1240.160159
2013-07-05,1240.160159
2013-07-08,1236.759722
2013-07-09,1236.759722
2013-07-10,1236.759722
2013-07-11,1236.759722
2013-07-12,1236.759722
2013-07-15,1219.219948
2013-07-16,1219.219948
2013-07-17,1219.219948
2013-07-18,1219.219948
2013-07-19,1219.219948
2013-07-22,1204.819643
2013-07-23,1204.819643
2013-07-24,1204.819643
2013-07-25,1204.819643
2013-07-26,1204.819643
2013-07-29,1196.485488
2013-07-30,1196.485488
2013-07-31,1196.485488
2013-08-01,1196.485488
2013-08-02,1196.485488
2013-08-05,1191.009889
2013-08-06,1191.009889
2013-08-07,1191.009889
2013-08-08,1191.009889
2013-08-09,1191.009889
2013-08-12,1187.644939
2013-08-13,1187.644939
2013-08-14,1187.644939
2013-08-15,1187.644939
2013-08-16,1187.644939
2013-08-19,1182.053883
2013-08-20,1182.053883
2013-08-21,1182.053883
2013-08-22,1182.053883
2013-08-23,1182.053883
2013-08-27,1180.632905
2013-08-28,1180.632905
2013-08-29,1180.632905
2013-08-30,1180.632905
2013-09-02,1200.297375
2013-09-03,1200.297375
2013-09-04,1200.297375
2013-09-05,1200.297375
2013-09-06,1200.297375
2013-09-09,1210.997126
2013-09-10,1210.997126
2013-09-11,1210.997126
2013-09-12,1210.997126
2013-09-13,1210.997126
2013-09-16,1216.043854
2013-09-17,1216.043854
2013-09-18,1216.043854
2013-09-19,1216.043854
2013-09-20,1216.043854
2013-09-23,1217.559854
2013-09-24,1217.559854
2013-09-25,1217.559854
2013-09-26,1217.559854
2013-09-27,1217.559854
2013-09-30,1213.988326
2013-10-01,1213.988326
2013-10-02,1213.988326
2013-10-03,1213.988326
2013-10-04,1213.988326
2013-10-07,1218.722833
2013-10-08,1218.722833
2013-10-09,1218.722833
2013-10-10,1218.722833
2013-10-11,1218.722833
2013-10-14,1217.372689
2013-10-15,1217.372689
2013-10-16,1217.372689
2013-10-17,1217.372689
2013-10-18,1217.372689
2013-10-21,1220.537473
2013-10-22,1220.537473
2013-10-23,1220.537473
2013-10-24,1220.537473
2013-10-25,1220.537473
2013-10-28,1221.940572
2013-10-29,1221.940572
2013-10-30,1221.940572
2013-10-31,1221.940572
2013-11-01,1221.940572
2013-11-04,1221.01514
2013-11-05,1221.01514
2013-11-06,1221.01514
2013-11-07,1221.01514
2013-11-08,1221.01514
2013-11-11,1212.021958
2013-11-12,1212.021958
2013-11-13,1212.021958
2013-11-14,1212.021958
2013-11-15,1212.021958
2013-11-18,1217.259473
2013-11-19,1217.259473
2013-11-20,1217.259473
2013-11-21,1217.259473
2013-11-22,1217.259473
2013-11-25,1206.370271
2013-11-26,1206.370271
2013-11-27,1206.370271
2013-11-28,1206.370271
2013-11-29,1206.370271
2013-12-02,1198.153109
2013-12-03,1198.153109
2013-12-04,1198.153109
2013-12-05,1198.153109
2013-12-06,1198.153109
2013-12-09,1193.072883
2013-12-10,1193.072883
2013-12-11,1193.072883
2013-12-12,1193.072883
2013-12-13,1193.072883
2013-12-16,1197.955842
2013-12-17,1197.955842
2013-12-18,1197.955842
2013-12-19,1197.955842
2013-12-20,1197.955842
2013-12-23,1197.875197
2013-12-24,1197.875197
2013-12-27,1197.875197
2013-12-30,1197.875197
2013-12-31,1197.875197
2014-01-02,1197.875197
2014-01-03,1197.875197
2014-01-06,1206.554227
2014-01-07,1206.554227
2014-01-08,1206.554227
2014-01-09,1206.554227
2014-01-10,1206.554227
2014-01-13,1206.569988
2014-01-14,1206.569988
2014-01-15,1206.569988
2014-01-16,1206.569988
2014-01-17,1206.569988
2014-01-20,1219.751852
2014-01-21,1219.751852
2014-01-22,1219.751852
2014-01-23,1219.751852
2014-01-24,1219.751852
2014-01-27,1252.372153
2014-01-28,1252.372153
2014-01-29,1252.372153
2014-01-30,1252.372153
2014-01-31,1252.372153
2014-02-03,1258.893937
2014-02-04,1258.893937
2014-02-05,1258.893937
2014-02-06,1258.893937
2014-02-07,1258.893937
2014-02-10,1273.527065
2014-02-11,1273.527065
2014-02-12,1273.527065
2014-02-13,1273.527065
2014-02-14,1273.527065
2014-02-17,1273.976727
2014-02-18,1273.976727
2014-02-19,1273.976727
2014-02-20,1273.976727
2014-02-21,1273.976727
2014-02-24,1274.911082
2014-02-25,1274.911082
2014-02-26,1274.911082
2014-02-27,1274.911082
2014-02-28,1274.911082
2014-03-03,1284.824636
2014-03-04,1284.824636
2014-03-05,1284.824636
2014-03-06,1284.824636
2014-03-07,1284.824636
2014-03-10,1280.735069
2014-03-11,1280.735069
