기간,품목명,국가명,수출중량(톤),수출금액(천불),수입중량(톤),수입금액(천불)
2022,연,남아프리카공화국,0,0,14115,24923
2022,연,네덜란드,0,0,17232,48113
2022,연,러시아연방,0,0,28951,47169
2022,연,멕시코,0,0,83141,757826
2022,연,모로코,0,0,13996,20541
2022,연,몬테네그로,0,0,5613,11118
2022,연,미국,0,0,89255,166750
2022,연,베트남,,,,
2022,연,보스니아헤르체고비나,0,0,6278,13128
2022,연,볼리비아,0,0,65800,223168
2022,연,불가리아,0,0,9091,15045
2022,연,세르비아,0,0,12207,28827
2022,연,스웨덴,0,0,7260,14293
2022,연,스위스,0,0,0,1
2022,연,스페인,0,0,5564,5543
2022,연,싱가포르,,,,
2022,연,온두라스,0,0,14386,29430
2022,연,인도네시아,41,20,0,0
2022,연,일본,,,,
2022,연,중국,,,,
2022,연,칠레,,,,
2022,연,태국,41,26,0,0
2022,연,튀르키예,0,0,8429,17554
2022,연,페루,0,0,101062,255894
2022,연,호주,0,0,78904,191203
2021,아연,남아프리카공화국,0,0,56913,53314
2021,아연,네덜란드,0,0,0,0
2021,아연,대만,,,,
2021,아연,라오스,,,,
2021,아연,러시아연방,0,0,13508,16407
2021,아연,마케도니아,0,0,896,914
2021,아연,말레이시아,0,0,0,0
2021,아연,멕시코,0,0,229823,332112
2021,아연,모로코,0,0,1408,1545
2021,아연,몬테네그로,,,,
2021,아연,미국,0,0,164582,204776
2021,아연,방글라데시,0,0,198,163
2021,아연,베트남,0,0,1729,1712
2021,아연,벨기에,,,,
2021,아연,볼리비아,0,0,121552,161997
2021,아연,브라질,,,,
2021,아연,사우디아라비아,0,0,10936,13432
2021,아연,세르비아,0,0,4820,6243
2021,아연,스페인,0,0,9406,10283
2021,아연,UAE,0,0,0,0
2021,아연,아르헨티나,0,0,9753,13889
2021,아연,알바니아,0,0,38490,9556
2021,아연,에리트리아,0,0,91844,101837
2021,아연,영국,0,0,0,0
2021,아연,온두라스,,,,
2021,아연,인도,,,,
2021,아연,인도네시아,0,0,2799,3645
2021,아연,일본,3810,5515,0,0
2021,아연,중국,60,18,0,0
2021,아연,칠레,0,0,25895,25228
2021,아연,캐나다,0,0,45621,58689
2021,아연,태국,,,,
2021,아연,튀르키예,0,0,7408,8281
2021,아연,파키스탄,0,0,1399,1419
2021,아연,페루,0,0,375409,423114
2021,아연,프랑스,0,0,0,0
2021,아연,필리핀,,,,
2021,아연,호주,19934,29146,605372,596329
2022,아연,남아프리카공화국,0,0,4095,5340
2022,아연,네덜란드,,,,
2022,아연,대만,0,0,0,0
2022,아연,라오스,0,0,671,763
2022,아연,러시아연방,0,0,14574,22505
2022,아연,마케도니아,,,,
2022,아연,말레이시아,0,0,39,25
2022,아연,멕시코,0,0,257595,434390
2022,아연,모로코,0,0,362,614
2022,아연,몬테네그로,0,0,1199,1990
2022,아연,미국,0,0,255875,341709
2022,아연,방글라데시,0,0,267,342
2022,아연,베트남,0,0,2197,3451
2022,아연,벨기에,0,0,0,0
2022,아연,볼리비아,0,0,245998,385585
2022,아연,브라질,0,0,3780,4859
2022,아연,사우디아라비아,0,0,9481,11146
2022,아연,세르비아,0,0,4326,6425
2022,아연,스페인,0,0,6035,6633
2022,아연,UAE,,,,
2022,아연,아르헨티나,0,0,7310,11928
2022,아연,알바니아,0,0,11202,3829
2022,아연,에리트리아,0,0,56953,84824
2022,아연,영국,,,,
2022,아연,온두라스,0,0,19498,23481
2022,아연,인도,0,0,22530,3023
2022,아연,인도네시아,0,0,2572,4587
2022,아연,일본,2200,4389,0,0
2022,아연,중국,1350,1840,0,0
2022,아연,칠레,,,,
2022,아연,캐나다,0,0,54686,87643
2022,아연,태국,0,0,1238,1508
2022,아연,튀르키예,0,0,6541,9110
2022,아연,파키스탄,0,0,1850,2390
2022,아연,페루,0,0,220568,316915
2022,아연,프랑스,0,0,0,0
2022,아연,필리핀,0,0,0,0
2022,아연,호주,15848,31277,478134,581253
2021,철,남아프리카공화국,0,0,4506163,918746
2021,철,네덜란드,0,0,90,40
2021,철,독일,0,0,0,1
2021,철,러시아연방,,,,
2021,철,모리타니,0,0,0,1
2021,철,미국,0,0,0,3
2021,철,바레인,0,0,336321,84519
2021,철,베트남,1,0,0,0
2021,철,볼리비아,0,0,0,0
2021,철,브라질,0,0,8455746,1547005
2021,철,스웨덴,0,0,6,5
2021,철,스페인,,,,
2021,철,싱가포르,,,,
2021,철,영국,0,0,0,0
2021,철,오만,,,,
2021,철,우루과이,0,0,0,8
2021,철,우크라이나,0,0,55189,12414
2021,철,이탈리아,0,3,0,0
2021,철,인도,0,0,903139,187526
2021,철,인도네시아,6,3,0,0
2021,철,일본,0,0,0,1
2021,철,중국,302511,17432,32704,9908
2021,철,칠레,0,0,599128,118742
2021,철,캐나다,0,0,3912920,678680
2021,철,태국,,,,
2021,철,프랑스,0,0,0,0
2021,철,필리핀,0,0,13,1
2021,철,호주,0,0,55285371,8517308
2022,철,남아프리카공화국,0,0,4574715,743878
2022,철,네덜란드,0,0,120,50
2022,철,독일,0,0,0,0
2022,철,러시아연방,0,0,77899,16742
2022,철,모리타니,0,0,0,2
2022,철,미국,0,0,0,0
2022,철,바레인,0,0,507538,118515
2022,철,베트남,,,,
2022,철,볼리비아,,,,
2022,철,브라질,0,0,8908151,1486113
2022,철,스웨덴,,,,
2022,철,스페인,0,0,0,0
2022,철,싱가포르,0,0,19,3
2022,철,영국,0,0,0,0
2022,철,오만,0,0,0,0
2022,철,우루과이,0,0,0,8
2022,철,우크라이나,0,0,0,0
2022,철,이탈리아,,,,
2022,철,인도,0,0,69041,14710
2022,철,인도네시아,,,,
2022,철,일본,,,,
2022,철,중국,275074,14312,69293,12071
2022,철,칠레,0,0,1372525,312927
2022,철,캐나다,0,0,4672374,702156
2022,철,태국,0,0,0,1
2022,철,프랑스,0,0,1,8
2022,철,필리핀,0,0,0,0
2022,철,호주,0,0,46170991,5513266
2021,알루미늄,네덜란드,0,0,48,42
2021,알루미늄,미국,0,0,0,0
2021,알루미늄,브라질,0,0,0,0
2021,알루미늄,싱가포르,0,0,0,0
2021,알루미늄,인도,0,0,2334,279
2021,알루미늄,인도네시아,116,14,0,0
2021,알루미늄,일본,0,0,0,0
2021,알루미늄,중국,40,31,25910,9858
2021,알루미늄,파키스탄,,,,
2021,알루미늄,프랑스,0,0,0,0
2021,알루미늄,호주,0,0,396248,22947
2021,알루미늄,홍콩,,,,
2022,알루미늄,네덜란드,0,0,0,0
2022,알루미늄,미국,0,0,0,0
2022,알루미늄,브라질,,,,
2022,알루미늄,싱가포르,,,,
2022,알루미늄,인도,0,0,220,31
2022,알루미늄,인도네시아,478,46,0,0
2022,알루미늄,일본,,,,
2022,알루미늄,중국,0,0,21591,9108
2022,알루미늄,파키스탄,0,0,0,0
2022,알루미늄,프랑스,,,,
2022,알루미늄,호주,0,0,395951,24011
2022,알루미늄,홍콩,0,0,0,0
2021,텅스텐,네덜란드,,,,
2021,텅스텐,르완다,,,,
2021,텅스텐,미국,0,0,0,0
2021,텅스텐,베트남,7,83,0,0
2021,텅스텐,싱가포르,0,0,0,3
2021,텅스텐,일본,0,1,0,0
2021,텅스텐,중국,0,0,1,57
2021,텅스텐,포루투갈,1,0,0,1
2022,텅스텐,네덜란드,0,0,0,1
2022,텅스텐,르완다,0,0,0,0
2022,텅스텐,미국,0,0,0,0
2022,텅스텐,베트남,1225,3558,0,0
2022,텅스텐,싱가포르,,,,
2022,텅스텐,일본,0,0,39,557
2022,텅스텐,중국,0,0,1,49
2022,텅스텐,포루투갈,16,1,0,0
2021,몰리브덴,네덜란드,140,3197,0,2
2021,몰리브덴,대만,476,8808,37,514
2021,몰리브덴,독일,0,0,0,5
2021,몰리브덴,말레이시아,,,,
2021,몰리브덴,멕시코,0,0,9365,164292
2021,몰리브덴,몽골,0,0,661,9428
2021,몰리브덴,미국,0,0,2211,38585
2021,몰리브덴,베트남,5037,7055,1613,30675
2021,몰리브덴,벨기에,0,0,920,17513
2021,몰리브덴,UAE,,,,
2021,몰리브덴,아르메니아,0,0,1074,16828
2021,몰리브덴,아르헨티나,0,0,653,9613
2021,몰리브덴,이란,0,0,42,626
2021,몰리브덴,인도,40,512,0,0
2021,몰리브덴,일본,2989,65850,83,582
2021,몰리브덴,중국,363,4544,3846,82446
2021,몰리브덴,칠레,0,0,19089,346703
2021,몰리브덴,카자흐스탄,0,0,281,3315
2021,몰리브덴,태국,332,360,240,5024
2021,몰리브덴,페루,0,0,3603,53184
2021,몰리브덴,호주,,,,
2022,몰리브덴,네덜란드,,,,
2022,몰리브덴,대만,0,0,0,0
2022,몰리브덴,독일,,,,
2022,몰리브덴,말레이시아,0,0,20,510
2022,몰리브덴,멕시코,0,0,8477,185991
2022,몰리브덴,몽골,0,0,1074,18365
2022,몰리브덴,미국,0,0,1421,32445
2022,몰리브덴,베트남,1931,7760,708,16544
2022,몰리브덴,벨기에,0,0,580,14009
2022,몰리브덴,UAE,0,0,40,893
2022,몰리브덴,아르메니아,0,0,739,12438
2022,몰리브덴,아르헨티나,0,0,59,1101
2022,몰리브덴,이란,0,0,21,422
2022,몰리브덴,인도,108,755,0,0
2022,몰리브덴,일본,1507,36941,117,1507
2022,몰리브덴,중국,98,1872,7076,162928
2022,몰리브덴,칠레,0,0,13376,307369
2022,몰리브덴,카자흐스탄,0,0,170,3231
2022,몰리브덴,태국,773,1126,283,6938
2022,몰리브덴,페루,0,0,1410,27667
2022,몰리브덴,호주,0,0,432,7599
2021,티타늄,남아프리카공화국,0,0,2000,2637
2021,티타늄,네덜란드,0,0,0,0
2021,티타늄,노르웨이,0,0,42772,10330
2021,티타늄,대만,0,0,38,77
2021,티타늄,독일,0,0,24,27
2021,티타늄,말레이시아,0,0,104,27
2021,티타늄,모잠비크,0,0,200,113
2021,티타늄,미국,0,0,0,0
2021,티타늄,베트남,0,0,42950,18963
2021,티타늄,세네갈,0,0,2580,3199
2021,티타늄,스리랑카,0,0,72,19
2021,티타늄,스페인,0,0,0,6
2021,티타늄,시에라리온,0,0,2460,3689
2021,티타늄,UAE,,,,
2021,티타늄,우크라이나,0,0,4080,7290
2021,티타늄,이집트,0,0,0,0
2021,티타늄,인도,0,0,11000,3839
2021,티타늄,중국,302062,23438,745,915
2021,티타늄,캐나다,0,0,0,0
2021,티타늄,케냐,0,0,3566,5259
2021,티타늄,태국,0,0,92,37
2021,티타늄,호주,0,0,5058,2494
2021,티타늄,홍콩,0,0,0,0
2022,티타늄,남아프리카공화국,0,0,1900,3485
2022,티타늄,네덜란드,,,,
2022,티타늄,노르웨이,0,0,25000,7713
2022,티타늄,대만,,,,
2022,티타늄,독일,,,,
2022,티타늄,말레이시아,0,0,78,27
2022,티타늄,모잠비크,,,,
2022,티타늄,미국,,,,
2022,티타늄,베트남,0,0,19540,9646
2022,티타늄,세네갈,0,0,3380,6199
2022,티타늄,스리랑카,,,,
2022,티타늄,스페인,,,,
2022,티타늄,시에라리온,0,0,2420,5031
2022,티타늄,UAE,0,0,0,0
2022,티타늄,우크라이나,0,0,4102,8790
2022,티타늄,이집트,,,,
2022,티타늄,인도,,,,
2022,티타늄,중국,260954,18900,68,134
2022,티타늄,캐나다,,,,
2022,티타늄,케냐,0,0,4864,10876
2022,티타늄,태국,0,0,20,10
2022,티타늄,호주,0,0,6462,3655
2022,티타늄,홍콩,,,,
2021,망간,가봉,0,0,101970,21580
2021,망간,남아프리카공화국,0,0,717245,147818
2021,망간,네덜란드,0,0,80,57
2021,망간,대만,0,0,588,12
2021,망간,독일,0,0,0,0
2021,망간,모로코,,,,
2021,망간,미국,0,0,380,539
2021,망간,베트남,,,,
2021,망간,볼리비아,0,0,0,0
2021,망간,이탈리아,,,,
2021,망간,인도,0,0,0,0
2021,망간,일본,0,0,0,0
2021,망간,중국,0,0,34,13
2021,망간,호주,0,0,504798,120337
2022,망간,가봉,0,0,36497,9951
2022,망간,남아프리카공화국,0,0,544192,130060
2022,망간,네덜란드,0,0,60,48
2022,망간,대만,,,,
2022,망간,독일,0,0,0,0
2022,망간,모로코,0,0,0,0
2022,망간,미국,0,0,323,468
2022,망간,베트남,93,3,0,0
2022,망간,볼리비아,,,,
2022,망간,이탈리아,0,0,0,0
2022,망간,인도,,,,
2022,망간,일본,0,0,19501,4506
2022,망간,중국,20,2,19,4
2022,망간,호주,0,0,485338,138594
2021,주석,나이지리아,0,0,1,17
2021,주석,몽골,,,,
2021,주석,미국,0,0,0,0
2021,주석,미얀마,,,,
2021,주석,베네수엘라,,,,
2021,주석,베트남,1,18,0,0
2021,주석,세네갈,0,0,0,0
2021,주석,인도,0,5,0,0
2021,주석,인도네시아,0,3,0,0
2021,주석,중국,1,53,0,0
2021,주석,콩고민주공화국,0,0,0,0
2021,주석,태국,,,,
2021,주석,프랑스,,,,
2022,주석,나이지리아,,,,
2022,주석,몽골,0,0,0,1
2022,주석,미국,0,0,0,0
2022,주석,미얀마,0,0,0,0
2022,주석,베네수엘라,0,0,0,0
2022,주석,베트남,0,0,0,0
2022,주석,세네갈,,,,
2022,주석,인도,0,3,0,0
2022,주석,인도네시아,,,,
2022,주석,중국,1,36,0,0
2022,주석,콩고민주공화국,,,,
2022,주석,태국,0,0,17,118
2022,주석,프랑스,0,0,0,0
2021,니켈,과테말라,,,,
2021,니켈,네덜란드,0,0,0,5
2021,니켈,뉴칼레도니아,0,0,3076534,330115
2021,니켈,독일,,,,
2021,니켈,러시아연방,,,,
2021,니켈,룩셈부르크,0,0,0,0
2021,니켈,미국,0,0,0,0
2021,니켈,볼리비아,,,,
2021,니켈,알바니아,,,,
2021,니켈,일본,86,42,0,0
2021,니켈,중국,0,0,0,0
2021,니켈,카자흐스탄,0,0,0,0
2021,니켈,캐나다,,,,
2021,니켈,코트디부아르,,,,
2021,니켈,탄자니아,,,,
2021,니켈,필리핀,0,0,105000,10563
2021,니켈,호주,0,0,0,0
2022,니켈,과테말라,0,0,96424,13537
2022,니켈,네덜란드,0,0,0,5
2022,니켈,뉴칼레도니아,0,0,2401819,348833
2022,니켈,독일,0,0,0,0
2022,니켈,러시아연방,0,0,0,0
2022,니켈,룩셈부르크,,,,
2022,니켈,미국,0,0,0,1
2022,니켈,볼리비아,0,0,0,0
2022,니켈,알바니아,0,0,0,0
2022,니켈,일본,46,64,0,0
2022,니켈,중국,62,143,0,0
2022,니켈,카자흐스탄,0,0,0,0
2022,니켈,캐나다,0,0,0,0
2022,니켈,코트디부아르,0,0,45100,7757
2022,니켈,탄자니아,0,0,0,0
2022,니켈,필리핀,0,0,109943,12297
2022,니켈,호주,0,0,0,0
2021,코발트,네덜란드,,,,
2021,코발트,독일,,,,
2021,코발트,미국,0,0,0,0
2021,코발트,영국,,,,
2021,코발트,이집트,,,,
2021,코발트,잠비아,0,0,0,0
2021,코발트,콩고민주공화국,,,,
2021,코발트,프랑스,0,0,0,0
2022,코발트,네덜란드,0,0,0,0
2022,코발트,독일,0,0,0,1
2022,코발트,미국,,,,
2022,코발트,영국,0,0,12,87
2022,코발트,이집트,0,0,0,0
2022,코발트,잠비아,,,,
2022,코발트,콩고민주공화국,0,0,0,0
2022,코발트,프랑스,0,0,0,7
2021,크롬,남아프리카공화국,0,0,180,99
2021,크롬,네덜란드,0,0,25,13
2021,크롬,대만,2,2,0,0
2021,크롬,독일,0,0,8,9
2021,크롬,벨기에,0,0,0,3
2021,크롬,일본,20,11,30,45
2021,크롬,중국,44,17,191,78
2021,크롬,파키스탄,0,0,1320,585
2021,크롬,필리핀,,,,
2022,크롬,남아프리카공화국,0,0,361,184
2022,크롬,네덜란드,,,,
2022,크롬,대만,,,,
2022,크롬,독일,,,,
2022,크롬,벨기에,0,0,0,4
2022,크롬,일본,0,0,29,37
2022,크롬,중국,0,0,0,0
2022,크롬,파키스탄,,,,
2022,크롬,필리핀,0,0,0,0
2021,탄탈륨,베트남,,,,
2021,탄탈륨,브라질,,,,
2021,탄탈륨,중국,0,0,0,15
2021,탄탈륨,케냐,0,0,0,0
2022,탄탈륨,베트남,0,0,0,0
2022,탄탈륨,브라질,0,0,0,0
2022,탄탈륨,중국,0,0,0,54
2022,탄탈륨,케냐,,,,
2021,니오븀,독일,,,0,0
2021,니오븀,미국,0,0,,
2021,니오븀,슬로베니아,0,0,,
2021,니오븀,중국,0,0,0,0
2022,니오븀,독일,0,0,0,1
2022,니오븀,미국,,,,
2022,니오븀,슬로베니아,,,,
2022,니오븀,중국,0,0,0,23
2021,바나듐,베트남,5742,5004,0,0
2021,바나듐,인도,253,152,0,0
2021,바나듐,캄보디아,692,642,0,0
2021,바나듐,캐나다,,,,
2021,바나듐,태국,1263,1089,0,0
2022,바나듐,베트남,2249,3187,0,0
2022,바나듐,인도,60,17,0,0
2022,바나듐,캄보디아,126,130,0,0
2022,바나듐,캐나다,0,0,108,145
2022,바나듐,태국,1031,1182,0,0
2021,토상흑연,대만,0,0,0,31
2021,토상흑연,독일,0,0,123,611
2021,토상흑연,말레이시아,,,,
2021,토상흑연,멕시코,,,,
2021,토상흑연,미국,0,0,1163,7483
2021,토상흑연,방글라데시,,,,
2021,토상흑연,베트남,1,15,0,0
2021,토상흑연,스리랑카,0,0,171,580
2021,토상흑연,스웨덴,0,0,0,0
2021,토상흑연,스페인,,,,
2021,토상흑연,싱가포르,,,,
2021,토상흑연,UAE,0,0,0,0
2021,토상흑연,영국,0,0,32,197
2021,토상흑연,오스트리아,0,0,2,12
2021,토상흑연,이탈리아,0,0,0,0
2021,토상흑연,인도,1,9,0,0
2021,토상흑연,인도네시아,7,4,0,0
2021,토상흑연,일본,0,0,121,390
2021,토상흑연,중국,309,922,39448,85453
2021,토상흑연,체코공화국,0,0,0,0
2021,토상흑연,캐나다,0,0,0,2
2021,토상흑연,태국,22,35,0,0
2021,토상흑연,튀르키예,,,,
2021,토상흑연,폴란드,0,0,0,0
2021,토상흑연,프랑스,0,0,0,0
2021,토상흑연,호주,0,0,0,0
2021,토상흑연,홍콩,0,0,0,0
2022,토상흑연,대만,0,0,0,30
2022,토상흑연,독일,0,0,89,453
2022,토상흑연,말레이시아,0,0,0,0
2022,토상흑연,멕시코,0,0,0,0
2022,토상흑연,미국,0,6,727,4888
2022,토상흑연,방글라데시,0,2,0,0
2022,토상흑연,베트남,2,55,0,0
2022,토상흑연,스리랑카,0,0,135,483
2022,토상흑연,스웨덴,0,0,0,0
2022,토상흑연,스페인,0,0,0,1
2022,토상흑연,싱가포르,0,0,0,0
2022,토상흑연,UAE,,,,
2022,토상흑연,영국,0,0,41,153
2022,토상흑연,오스트리아,0,0,1,6
2022,토상흑연,이탈리아,,,,
2022,토상흑연,인도,1,2,2,2
2022,토상흑연,인도네시아,8,12,0,0
2022,토상흑연,일본,0,0,118,363
2022,토상흑연,중국,98,722,34927,106150
2022,토상흑연,체코공화국,0,0,0,1
2022,토상흑연,캐나다,0,0,0,1
2022,토상흑연,태국,2,10,0,0
2022,토상흑연,튀르키예,0,0,0,0
2022,토상흑연,폴란드,,,,
2022,토상흑연,프랑스,,,,
2022,토상흑연,호주,0,0,0,0
2022,토상흑연,홍콩,,,,
2021,인상흑연,대만,0,113,0,0
2021,인상흑연,독일,0,0,1104,3578
2021,인상흑연,마다가스카르,0,0,18,9
2021,인상흑연,말레이시아,,,,
2021,인상흑연,모잠비크,,,,
2021,인상흑연,미국,0,0,9,54
2021,인상흑연,베트남,,,,
2021,인상흑연,브라질,0,0,101,291
2021,인상흑연,싱가포르,0,49,0,0
2021,인상흑연,영국,0,0,1,4
2021,인상흑연,오만,0,0,0,0
2021,인상흑연,오스트리아,0,0,2,8
2021,인상흑연,인도네시아,,,,
2021,인상흑연,일본,0,0,98,515
2021,인상흑연,중국,40,227,10047,11563
2021,인상흑연,캐나다,0,0,15,67
2021,인상흑연,태국,11,47,0,0
2021,인상흑연,프랑스,0,0,0,0
2021,인상흑연,핀란드,,,,
2022,인상흑연,대만,0,207,0,0
2022,인상흑연,독일,10,19,116,561
2022,인상흑연,마다가스카르,0,0,58,53
2022,인상흑연,말레이시아,0,0,0,0
2022,인상흑연,모잠비크,0,0,128,89
2022,인상흑연,미국,0,0,11,90
2022,인상흑연,베트남,0,87,0,0
2022,인상흑연,브라질,0,0,26,80
2022,인상흑연,싱가포르,0,26,0,0
2022,인상흑연,영국,0,0,2,7
2022,인상흑연,오만,,,,
2022,인상흑연,오스트리아,0,0,4,24
2022,인상흑연,인도네시아,0,1,0,0
2022,인상흑연,일본,0,0,80,348
2022,인상흑연,중국,73,415,11935,16931
2022,인상흑연,캐나다,0,0,25,123
2022,인상흑연,태국,0,0,0,0
2022,인상흑연,프랑스,0,0,0,0
2022,인상흑연,핀란드,0,0,8,11
2021,형석,남아프리카공화국,0,0,0,0
2021,형석,네덜란드,0,0,0,6
2021,형석,대 만,,,,
2021,형석,멕시코,0,0,22672,8537
2021,형석,모잠비크,0,0,0,0
2021,형석,몽 골,0,0,2702,939
2021,형석,미 국,0,0,0,3
2021,형석,베 트 남,0,0,0,0
2021,형석,스 웨 덴,0,0,13,47
2021,형석,싱가포르,0,0,0,0
2021,형석,아프가니스탄,0,0,1153,570
2021,형석,이탈리아,0,0,0,0
2021,형석,일 본,0,0,3250,1165
2021,형석,중 국,249,146,36256,16024
2021,형석,태국,0,0,0,0
2021,형석,파키스탄,0,0,13789,3510
2021,형석,피지,,,,
2022,형석,남아프리카공화국,,,,
2022,형석,네덜란드,0,0,0,1
2022,형석,대 만,0,0,0,0
2022,형석,멕시코,0,0,9975,4126
2022,형석,모잠비크,,,,
2022,형석,몽 골,0,0,2149,888
2022,형석,미 국,,,,
2022,형석,베 트 남,,,,
2022,형석,스 웨 덴,0,0,15,49
2022,형석,싱가포르,,,,
2022,형석,아프가니스탄,0,0,1101,636
2022,형석,이탈리아,,,,
2022,형석,일 본,0,0,3162,1246
2022,형석,중 국,157,142,33738,14984
2022,형석,태국,0,0,110,42
2022,형석,파키스탄,0,0,5831,1353
2022,형석,피지,2,3,0,0
2021,석회석류,과테말라,0,0,41,23
2021,석회석류,그 리 스,0,0,0,0
2021,석회석류,남아프리카공화국,,,,
2021,석회석류,네덜란드,0,0,0,0
2021,석회석류,노르웨이,0,0,1380,337
2021,석회석류,뉴질랜드,0,0,0,1
2021,석회석류,대 만,0,0,60,11
2021,석회석류,독 일,0,1,352,140
2021,석회석류,레바논,,,,
2021,석회석류,말레이시아,0,0,0,0
2021,석회석류,멕시코,0,0,0,0
2021,석회석류,모 로 코,0,0,582,130
2021,석회석류,모잠비크,,,,
2021,석회석류,몽 골,69,9,0,0
2021,석회석류,미 국,65,12,1207,466
2021,석회석류,미얀마,0,1,0,0
2021,석회석류,방글라데시,,,,
2021,석회석류,베 트 남,66,13,472123,13864
2021,석회석류,브 라 질,1,5,0,0
2021,석회석류,스 웨 덴,,,,
2021,석회석류,스위스,,,,
2021,석회석류,스 페 인,0,0,166,48
2021,석회석류,싱가포르,0,1,0,0
2021,석회석류,UAE,0,0,0,0
2021,석회석류,영 국,0,0,3,2
2021,석회석류,오 만,0,0,696,622
2021,석회석류,우즈베키스탄,210,21,0,0
2021,석회석류,이 라 크,,,,
2021,석회석류,이 란,,,,
2021,석회석류,이 집 트,0,0,0,0
2021,석회석류,이탈리아,0,0,1081,341
2021,석회석류,인 도,1,4,0,1
2021,석회석류,인도네시아,168,60,6,1
2021,석회석류,일 본,317548,7512,1752712,34592
2021,석회석류,중 국,22773,3387,45857,3822
2021,석회석류,캄보디아,0,1,0,0
2021,석회석류,캐 나 다,0,0,0,0
2021,석회석류,태 국,20,3,0,0
2021,석회석류,튀니지,,,,
2021,석회석류,튀르키예,0,0,558,152
2021,석회석류,파키스탄,0,0,26,5
2021,석회석류,포르투갈,0,0,0,0
2021,석회석류,프 랑 스,0,0,27,15
2021,석회석류,필 리 핀,27,6,154766,4066
2021,석회석류,헝가리,,,,
2021,석회석류,호 주,2,35,0,0
2021,석회석류,홍콩,7,1,0,0
