Date,Close
2021-04-01,1127.199951171875
2021-04-02,1128.06005859375
2021-04-05,1128.7900390625
2021-04-06,1124.1099853515625
2021-04-07,1117.5
2021-04-08,1117.8599853515625
2021-04-09,1115.8399658203125
2021-04-12,1122.06005859375
2021-04-13,1124.449951171875
2021-04-14,1120.68994140625
2021-04-15,1116.1099853515625
2021-04-16,1115.6700439453125
2021-04-19,1115.6500244140625
2021-04-20,1114.469970703125
2021-04-21,1116.1099853515625
2021-04-22,1115.6600341796875
2021-04-23,1118.5899658203125
2021-04-26,1114.1300048828125
2021-04-27,1109.22998046875
2021-04-28,1112.1500244140625
2021-04-29,1108.6600341796875
2021-04-30,1106.6300048828125
2021-05-03,1116.760009765625
2021-05-04,1120.4000244140625
2021-05-05,1124.9100341796875
2021-05-06,1123.989990234375
2021-05-07,1119.3900146484375
2021-05-10,1111.969970703125
2021-05-11,1115.5400390625
2021-05-12,1118.22998046875
2021-05-13,1131.5999755859375
2021-05-14,1125.699951171875
2021-05-17,1125.530029296875
2021-05-18,1135.510009765625
2021-05-19,1127.1400146484375
2021-05-20,1130.3699951171875
2021-05-21,1127.050048828125
2021-05-24,1126.7900390625
2021-05-25,1122.18994140625
2021-05-26,1121.3800048828125
2021-05-27,1115.52001953125
2021-05-28,1117.300048828125
2021-05-31,1112.8499755859375
2021-06-01,1106.97998046875
2021-06-02,1107.2099609375
2021-06-03,1109.8800048828125
2021-06-04,1115.43994140625
2021-06-07,1109.6800537109375
2021-06-08,1109.3199462890625
2021-06-09,1116.8900146484375
2021-06-10,1116.4100341796875
2021-06-11,1111.260009765625
2021-06-14,1115.550048828125
2021-06-15,1116.3199462890625
2021-06-16,1116.030029296875
2021-06-17,1131.949951171875
2021-06-18,1133.5400390625
2021-06-21,1134.25
2021-06-22,1130.3399658203125
2021-06-23,1132.510009765625
2021-06-24,1132.6099853515625
2021-06-25,1130.800048828125
2021-06-28,1125.3399658203125
2021-06-29,1129.0400390625
2021-06-30,1130.510009765625
2021-07-01,1129.5999755859375
2021-07-02,1132.4100341796875
2021-07-05,1129.77001953125
2021-07-06,1129.43994140625
2021-07-07,1135.47998046875
2021-07-08,1140.52001953125
2021-07-09,1146.280029296875
2021-07-12,1144.31005859375
2021-07-13,1141.0999755859375
2021-07-14,1148.699951171875
2021-07-15,1143.4100341796875
2021-07-16,1140.1199951171875
2021-07-19,1141.5
2021-07-20,1150.0699462890625
2021-07-21,1147.47998046875
2021-07-22,1148.68994140625
2021-07-23,1149.9100341796875
2021-07-26,1151.1199951171875
2021-07-27,1151.760009765625
2021-07-28,1153.56005859375
2021-07-29,1149.4100341796875
2021-07-30,1142.1199951171875
2021-08-02,1150.9300537109375
2021-08-03,1149.56005859375
2021-08-04,1148.5799560546875
2021-08-05,1144.06005859375
2021-08-06,1143.1199951171875
2021-08-09,1144.9200439453125
2021-08-10,1145.8900146484375
2021-08-11,1152.47998046875
2021-08-12,1152.8499755859375
2021-08-13,1162.06005859375
2021-08-16,1161.3800048828125
2021-08-17,1164.5
2021-08-18,1176.449951171875
2021-08-19,1169.6800537109375
2021-08-20,1175.3900146484375
2021-08-23,1174.239990234375
2021-08-24,1167.6099853515625
2021-08-25,1163.469970703125
2021-08-26,1163.3299560546875
2021-08-27,1170.0
2021-08-30,1161.3299560546875
2021-08-31,1165.510009765625
2021-09-01,1158.4100341796875
2021-09-02,1155.280029296875
2021-09-03,1157.1300048828125
2021-09-06,1154.75
2021-09-07,1155.5400390625
2021-09-08,1161.0
2021-09-09,1166.489990234375
2021-09-10,1169.1300048828125
2021-09-13,1169.3800048828125
2021-09-14,1171.1099853515625
2021-09-15,1170.800048828125
2021-09-16,1165.219970703125
2021-09-17,1174.4200439453125
2021-09-20,1181.1099853515625
2021-09-21,1186.3199462890625
2021-09-22,1182.9200439453125
2021-09-23,1181.030029296875
2021-09-24,1174.699951171875
2021-09-27,1179.199951171875
2021-09-28,1176.9599609375
2021-09-29,1186.8900146484375
2021-09-30,1187.4300537109375
2021-10-01,1183.719970703125
2021-10-04,1180.0
2021-10-05,1183.780029296875
2021-10-06,1187.1700439453125
2021-10-07,1191.3800048828125
2021-10-08,1191.1500244140625
2021-10-11,1195.5799560546875
2021-10-12,1195.800048828125
2021-10-13,1196.8900146484375
2021-10-14,1186.7099609375
